x,f(x),sin(x),cos(x),tan(x),cot(x),sec(x),csc(x),log(x),log2(x),log3(x),log5(x),log10(x)
-2.0, -2.557495207063997E22, -0.909297426825641, -0.4161468365471398, 2.1850398632614345, 0.4576575543603035, -2.402997961722396, -1.0997501702946657, NaN, NaN, NaN, NaN, NaN
-1.9, -1.7422190078304269E27, -0.9463000876874007, -0.32328956686350335, 2.9270975146777305, 0.3416353554965519, -3.0932022016726934, -1.0567472337911676, NaN, NaN, NaN, NaN, NaN
-1.7999999999999998, 2.684820816627627E49, -0.973847630878773, -0.22720209469308925, 4.286261674630565, 0.23330353485387484, -4.40136787185359, -1.0268546826957188, NaN, NaN, NaN, NaN, NaN
-1.6999999999999997, 3.5194326385695135E85, -0.9916648104526639, -0.1288444942955245, 7.696602139460685, 0.12992746433818805, -7.761293996050367, -1.008405248890027, NaN, NaN, NaN, NaN, NaN
-1.5999999999999996, 4.008573536053778E160, -0.9995736030415668, -0.029199522301288434, 34.23253273555987, 0.029211978199942704, -34.24713561001903, -1.0004265788503575, NaN, NaN, NaN, NaN, NaN
-1.4999999999999996, 1.2036072285268862E124, -0.9974949866040727, 0.07073720166770317, -14.101419947171925, -0.07091484430265142, 14.136832902969852, -1.0025113042467066, NaN, NaN, NaN, NaN, NaN
-1.3999999999999995, 7.548811494465472E85, -0.985449729988465, 0.1699671429002415, -5.797883715482898, -0.17247672583179968, 5.883490084827325, -1.0147651062948744, NaN, NaN, NaN, NaN, NaN
-1.2999999999999994, 2.7337520375315627E65, -0.9635581854169508, 0.2674988286246023, -3.602102447966873, -0.27761564654121035, 3.7383341270752335, -1.0378200456750621, NaN, NaN, NaN, NaN, NaN
-1.1999999999999993, 3.3763307644262672E50, -0.932039085967164, 0.36235775447667373, -2.5721516221261456, -0.3887795693682311, 2.759703601332405, -1.072916377709969, NaN, NaN, NaN, NaN, NaN
-1.0999999999999992, 2.113645302675155E38, -0.8912073600614208, 0.45359612142556904, -1.9647596572486559, -0.5089681052390634, 2.2046043887173994, -1.1220733185272185, NaN, NaN, NaN, NaN, NaN
-0.9999999999999992, 1.2818590689277574E28, -0.8414709848078933, 0.5403023058680307, -1.5574077246552105, -0.6420926159342036, 1.850815717681299, -1.1883951057781257, NaN, NaN, NaN, NaN, NaN
-0.8999999999999992, 1.1806270369546623E20, -0.78332690962764, 0.6216099682706671, -1.2601582175505857, -0.7935511478421619, 1.6087258104660427, -1.2766062134586402, NaN, NaN, NaN, NaN, NaN
-0.7999999999999993, 8.396770159507755E14, -0.7173560908995491, 0.6967067093471813, -1.0296385570503783, -0.971214600650461, 1.4353241996722073, -1.394007819388585, NaN, NaN, NaN, NaN, NaN
-0.6999999999999993, 3.53358340924016E13, -0.6442176872376942, 0.7648421872845845, -0.8422883804629778, -1.1872418321268225, 1.3074592597334296, -1.5522703269570963, NaN, NaN, NaN, NaN, NaN
-0.5999999999999993, 3.4165368070811072E16, -0.5646424733948254, 0.825335614909677, -0.6841368083414391, -1.4616959470786433, 1.2116283145123186, -1.7710321966883837, NaN, NaN, NaN, NaN, NaN
-0.49999999999999933, 9.175177479738793E23, -0.4794255386041828, 0.877582561890364, -0.5463024898437729, -1.8304877217125108, 1.1394939273245606, -2.085829642933576, NaN, NaN, NaN, NaN, NaN
-0.39999999999999936, 3.9241437804482026E35, -0.3894183423086488, 0.9210609940028442, -0.42279321873817866, -2.365222420039016, 1.0857044283832868, -2.567932455547794, NaN, NaN, NaN, NaN, NaN
-0.2999999999999994, 3.188425426089067E51, -0.29552020666138334, 0.9553364891254418, -0.3093362496097222, -3.232728143764793, 1.0467516015382656, -3.3838633618236216, NaN, NaN, NaN, NaN, NaN
-0.19999999999999937, 1.7896573592289414E73, -0.1986693307950611, 0.980066577840646, -0.20271003550879557, -4.933154875583898, 1.0203388449418127, -5.033489547672347, NaN, NaN, NaN, NaN, NaN
-0.09999999999999937, 1.2760653417895268E108, -0.09983341664682477, 0.9950041652780383, -0.10033467208544589, -9.9666444232597, 1.0050209184004428, -10.016686131635117, NaN, NaN, NaN, NaN, NaN
0.0, NaN, 0.0, 1.0000000000000437, 0.0, Infinity, 0.9999999999999563, Infinity, NaN, NaN, NaN, NaN, NaN
0.1, 121.4965909564182, 0.09983341664682541, 0.9950041652781664, 0.1003346720854336, 9.96664442326092, 1.0050209184003134, 10.016686131635051, -2.3025850926722145, -3.3219280944716245, -2.095903274071374, -1.43067655793716, -0.9999999999999997
0.2, 8.791734142751995, 0.19866933079506174, 0.9800665778416653, 0.2027100355085854, 4.933154875589013, 1.0203388449407516, 5.033489547672331, -1.6094379123624056, -2.321928094817875, -1.4649735207050436, -1.0000000000000002, -0.6989700044025766
0.30000000000000004, 0.13574212688493248, 0.29552020666138396, 0.9553364891255961, 0.3093362496096729, 3.232728143765309, 1.0467516015380964, 3.3838633618236145, -1.2039728042952613, -1.7369655941473463, -1.095903274300644, -0.7480703636016726, -0.522878745340098
0.4, -0.5583027779740025, 0.3894183423086494, 0.9210609940028553, 0.4227932187381742, 2.365222420039041, 1.0857044283832737, 2.56793245554779, -0.916290731863784, -1.3219280948917267, -0.8340437671668482, -0.5693234419455245, -0.3979400087231532
0.5, -0.43815391706361945, 0.4794255386041834, 0.8775825618902883, 0.5463024898438208, 1.8304877217123505, 1.1394939273246587, 2.0858296429335734, -0.6931471805498115, -1.0, -0.6309297535847903, -0.4306765580862818, -0.30102999570165484
